month,created_issues,closed_issues,Epic,crash,domain: ci,domain: core,domain: dev,domain: performance,domain: tests,fuzz,good first issue,meta: regression,meta:confirmed,needs: more info,new function,stdlib: encode_proto,stdlib: parse,stdlib: parse_aws_vpc_flow_log,stdlib: parse_cef,stdlib: parse_duration,stdlib: parse_key_value,stdlib: parse_klog,stdlib: parse_timestamp,stdlib: unnest,type: bug,type: enhancement,type: feature,type: tech debt,vrl: compiler,vrl: diagnostic,vrl: expression checker,vrl: parser,vrl: stdlib,vrl: syntax,vrl: typedef,Bug,Feature,Task
2023-11,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,2,0,0,0,2,0,0,0,0,0
2023-12,6,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,2,0,0
2024-01,14,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,0,0,0,0,0
2024-02,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0
2024-03,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,0,0,0,0,0
2024-04,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0
2024-05,18,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,3,0,0,0,6,0,0,0,0,0
2024-06,9,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0
2024-07,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,7,0,0,0,0,0
2024-08,12,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,11,0,0,0,0,0
2024-09,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,3,0,1,0,0,0
2024-10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,2,8,1,0,0,0,0
2024-11,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,1,1,0,0,0,0,0,0,0,0
2024-12,14,12,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,1,0,0,0,6,0,0,0,0,0
2025-01,10,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,5,0,2,0,8,0,0,2,0,0
2025-02,10,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,4,0,2,0,0,0,3,0,0,5,1,2
2025-03,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,3,0,0,0,7,0,0,5,7,1
2025-04,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,5,0,0,2,6,0
2025-05,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
2025-06,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,2,2,0
2025-07,10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1,0,0,0,0,5,0,0,2,3,2
2025-08,14,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,1,4,0,0,0,0,0,7,0,0,7,5,0
2025-09,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,5,2,0
2025-10,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,1,8,0,3,0,0,0,0,0,6,0,0,20,1,0
2025-11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,4,3,0
2025-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2026-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
2026-02,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0
