month,label_name,count
2022-08,type: task,1
2022-08,source: kubernetes_logs,1
2022-08,source: kafka,1
2022-08,source: internal_logs,1
2022-08,source: dnstap,1
2022-08,source: apache_metrics,1
2022-08,sink: pulsar,1
2022-08,sink: prometheus_remote_write,1
2022-08,sink: nats,1
2022-08,sink: file,1
2022-08,sink: datadog_logs,1
2022-08,provider: aws,1
2022-08,meta: awaiting author,1
2022-08,domain: tests,1
2022-08,domain: metrics,1
2022-08,domain: internal docs,1
2022-08,domain: dev,1
2022-09,domain: deps,86
2022-09,domain: sinks,58
2022-09,ci-condition: integration tests enable,46
2022-09,domain: external docs,39
2022-09,domain: core,36
2022-09,domain: sources,33
2022-09,domain: observability,31
2022-09,domain: vrl,26
2022-09,domain: ci,13
2022-09,domain: transforms,10
2022-09,type: tech debt,8
2022-09,domain: topology,8
2022-09,type: bug,6
2022-09,ci-condition: k8s e2e tests enable,6
2022-09,source: internal_metrics,4
2022-09,type: task,3
2022-09,domain: config,3
2022-09,ci-condition: k8s e2e all targets,3
2022-09,source: mongodb_metrics,2
2022-09,source: host_metrics,2
2022-09,sink: vector,2
2022-09,sink: honeycomb,2
2022-09,sink: datadog_traces,2
2022-09,domain: tests,2
2022-09,domain: dev,2
2022-09,dependencies,2
2022-09,vrl: stdlib,1
2022-09,transform: lua,1
2022-09,transform: filter,1
2022-09,source: vector,1
2022-09,source: nginx_metrics,1
2022-09,source: nats,1
2022-09,source: logstash,1
2022-09,source: kubernetes_logs,1
2022-09,source: aws_s3,1
2022-09,sink: statsd,1
2022-09,sink: socket,1
2022-09,sink: sematext_metrics,1
2022-09,sink: redis,1
2022-09,sink: pulsar,1
2022-09,sink: prometheus_remote_write,1
2022-09,sink: new_relic,1
2022-09,sink: loki,1
2022-09,sink: kafka,1
2022-09,sink: influxdb_metrics,1
2022-09,sink: influxdb_logs,1
2022-09,sink: http,1
2022-09,sink: file,1
2022-09,sink: datadog_metrics,1
2022-09,sink: datadog_events,1
2022-09,sink: aws_sqs,1
2022-09,sink: aws_s3,1
2022-09,sink: aws_kinesis_streams,1
2022-09,sink: aws_kinesis_firehose,1
2022-09,sink: aws_cloudwatch_metrics,1
2022-09,sink: aws_cloudwatch_logs,1
2022-09,provider: honeycomb,1
2022-09,provider: aws,1
2022-09,meta: awaiting author,1
2022-09,domain: releasing,1
2022-10,domain: deps,71
2022-10,ci-condition: integration tests enable,38
2022-10,domain: sources,36
2022-10,domain: vrl,30
2022-10,domain: core,30
2022-10,domain: external docs,29
2022-10,domain: sinks,26
2022-10,domain: transforms,25
2022-10,domain: ci,11
2022-10,type: tech debt,10
2022-10,domain: topology,9
2022-10,type: bug,6
2022-10,domain: observability,4
2022-10,type: task,3
2022-10,type: enhancement,3
