label_name,open_count,closed_count
meta: awaiting author,4,5
domain: deps,2,674
no-changelog,2,667
vrl: stdlib,0,23
domain: ci,0,14
type: tech debt,0,13
type: enhancement,0,9
domain: releasing,0,6
type: feature,0,6
type: bug,0,4
domain: dev,0,2
domain: tests,0,2
meta: regression,0,1
vrl: compiler,0,1
vrl: expression checker,0,1
vrl: typedef,0,1
