"component","origin","license","copyright"
"com.github.vectordotdev/github-tools","git+https://github.com/vectordotdev/github-tools","['MPL-2.0']","['vectordotdev']"
"matplotlib","matplotlib","[]","[]"
"numpy","numpy","[]","[]"
"pandas","pandas","[]","[]"
"pip","https://github.com/pypa/pip","['MIT']","['Andrey Petrov and contributors', 'Corporation for National Research Initiatives', 'Eric Larson', 'INADA Naoki', 'Kim Davies and contributors', 'Python Software Foundation', 'Seth Michael Larson', 'Stephen Rosen', 'Stichting Mathematisch Centrum Amsterdam, The Netherlands', 'Taneli Hukkinen', 'The pip', 'The platformdirs', 'Thomas Kluyver', 'Tzu-ping Chung', 'Will McGugan']"
"python-dotenv","python-dotenv","[]","[]"
"requests","requests","[]","[]"

